date,title,review,rating,username,helpful_votes,review_length,platform,language,location,version,verified_purchase,sentiment,review_clean,platform_encoded,verified_encoded,version_encoded
12/24/2024,East list local interesting far magazine father.,Impressive natural language understanding. Almost good thus above newspaper.,1,darren55,25,9,Google Play,de,Nepal,2.0.4,No,Negative,impressive natural language understanding almost good thus newspaper,3,0,10
7/26/2024,Road determine picture figure hard experience red.,Sometimes gives wrong answers or outdated info. Student movement power condition camera us contain.,2,davistyler,35,14,Flipkart,es,Panama,2.6.5,No,Negative,sometimes give wrong answer outdated info student movement power condition camera u contain,2,0,17
8/22/2024,Policy social past analysis whole.,Great tool for generating content quickly. Interesting evening population claim.,5,andrea59,94,10,App Store,es,Denmark,4.2.2,No,Positive,great tool generating content quickly interesting evening population claim,1,0,37
4/24/2025,News financial billion four foreign.,Great tool for generating content quickly. Start method but less within. Pressure same less very.,3,dcooper,50,15,Amazon,de,Brunei Darussalam,4.4.2,No,Neutral,great tool generating content quickly start method less within pressure less,0,0,39
8/15/2024,To skill she case sing stop likely.,Excellent for language translation and grammar fixes. Price structure rate quality.,1,christine79,33,11,Flipkart,fr,United States Minor Outlying Islands,5.1.1,Yes,Negative,excellent language translation grammar fix price structure rate quality,2,1,43
7/4/2024,Involve office space crime.,Explains complex topics clearly and simply. Detail visit current pretty suddenly find.,4,qfields,29,12,Flipkart,fr,Spain,2.1.5,Yes,Positive,explains complex topic clearly simply detail visit current pretty suddenly find,2,1,13
8/13/2024,American wait board improve there court TV.,Excellent for language translation and grammar fixes. Fund country expert.,2,david89,45,10,App Store,en,Kuwait,3.2.7,No,Negative,excellent language translation grammar fix fund country expert,1,0,24
2/22/2025,Control drop economic easy ability become figure.,Sometimes gives wrong answers or outdated info. Catch easy including sister speech.,3,mark52,77,12,App Store,en,Antigua and Barbuda,5.7.2,No,Neutral,sometimes give wrong answer outdated info catch easy including sister speech,1,0,46
12/12/2024,Pick rock body stuff off model brother.,Sometimes gives wrong answers or outdated info. Else trial suffer pull dark why.,1,glewis,66,13,Google Play,de,Hong Kong,5.7.8,Yes,Negative,sometimes give wrong answer outdated info else trial suffer pull dark,3,1,47
2/23/2025,School involve teach rather long value director.,Very helpful for coding and debugging tasks. Such do tax much most too. Hard thousand many environment sell operation.,2,davispatricia,33,19,App Store,en,Brunei Darussalam,4.0.6,No,Negative,helpful coding debugging task tax much hard thousand many environment sell operation,1,0,36
